fc.annotation...c..GeneID...,X15.bam,X18.bam,X2.bam,X33.bam
DDX11L1,0,1,1,0
WASH7P,0,1,2,2
MIR6859-1,0,0,0,0
MIR1302-2HG,0,0,0,0
MIR1302-2,0,0,0,0
FAM138A,0,0,0,0
OR4G4P,0,0,0,0
OR4G11P,0,0,0,0
OR4F5,0,0,0,0
LOC100996442,3,2,2,5
SEPTIN14P18,0,0,0,0
CICP27,0,0,0,0
LOC729737,0,0,0,0
RNU6-1100P,0,0,0,0
GTF2IP10,0,0,0,0
DDX11L17,0,0,0,0
WASH9P,0,0,0,0
MIR6859-2,0,0,0,0
LOC107985721,0,0,0,0
RPL23AP21,0,0,0,0
RPL23AP24,0,0,0,0
LOC112268260,1,0,0,0
WBP1LP7,0,0,0,0
OR4F29,0,0,0,0
SEPTIN14P13,0,0,0,0
CICP7,0,1,0,0
LOC100132287,0,4,5,1
LOC105378947,0,0,1,0
LOC101928626,0,0,0,0
MTND1P23,240,452,429,667
MTND2P28,253,506,467,561
MTCO1P12,37,74,114,81
MIR12136,0,11,17,11
MTCO2P12,45,82,102,62
MTATP8P1,0,8,6,5
MTATP6P1,83,188,331,298
MTCO3P12,9,47,31,33
WBP1LP6,0,0,0,0
OR4F16,1,0,0,2
SEPTIN14P14,0,0,0,0
CICP3,0,0,0,0
LOC100288069,2,6,5,3
RNU6-1199P,0,0,0,0
LINC01409,0,1,1,2
FAM87B,0,0,1,0
LINC00115,2,0,1,1
LINC01128,0,2,2,3
LOC107984850,0,0,0,0
FAM41C,0,1,0,1
TUBB8P11,0,0,0,0
LOC284600,0,0,0,1
LINC02593,0,0,0,0
LOC107985728,0,0,0,0
SAMD11,0,0,0,0
NOC2L,2,0,0,0
KLHL17,0,0,1,0
PLEKHN1,1,0,0,0
PERM1,0,0,0,0
HES4,0,0,0,0
RPL39P12,0,0,0,0
ISG15,1,2,3,0
AGRN,1,0,0,2
LOC100288175,0,0,0,0
LOC105378948,0,0,0,0
RNF223,0,0,0,0
C1orf159,3,1,2,1
LINC01342,0,0,0,0
MIR200B,0,0,0,0
MIR200A,0,0,0,0
MIR429,0,0,0,0
TTLL10-AS1,0,0,0,0
TTLL10,1,2,1,1
TNFRSF18,0,0,3,0
TNFRSF4,0,0,0,0
SDF4,8,2,17,10
B3GALT6,1,0,2,2
C1QTNF12,0,0,0,0
UBE2J2,2,6,9,3
LINC01786,0,0,0,0
SCNN1D,0,0,2,0
ACAP3,1,5,3,3
MIR6726,0,0,0,0
SNORD167,0,0,0,0
PUSL1,0,0,0,0
INTS11,1,4,3,4
MIR6727,0,0,0,0
CPTP,0,0,1,1
TAS1R3,0,0,0,0
DVL1,0,0,1,3
MIR6808,0,0,0,0
MXRA8,0,1,1,0
AURKAIP1,2,1,1,2
NDUFB4P8,0,0,0,0
CCNL2,6,11,14,19
MRPL20-AS1,0,0,1,1
MRPL20,1,1,7,2
RN7SL657P,0,0,0,0
MRPL20-DT,0,0,0,0
LOC107984868,0,0,0,0
ANKRD65,0,0,0,0
ANKRD65-AS1,0,0,0,0
TMEM88B,0,1,0,0
LINC01770,0,0,0,0
LOC107985729,0,0,0,0
VWA1,0,0,0,0
ATAD3C,0,2,1,1
ATAD3B,3,1,1,1
ATAD3A,1,1,0,1
TMEM240,0,0,0,0
SSU72,2,11,16,4
FNDC10,0,1,0,0
LOC105378586,0,1,0,1
MIB2,3,3,10,7
MMP23B,0,0,0,0
CDK11B,9,20,16,13
SLC35E2B,2,7,8,22
LOC100288379,0,0,0,0
MMP23A,0,0,0,0
CDK11A,9,22,18,13
SLC35E2A,7,3,7,12
LOC100129381,0,0,0,0
LOC112268218,0,0,0,0
NADK,12,12,22,9
GNB1,38,38,71,37
GNB1-DT,0,0,0,0
CALML6,0,0,0,0
TMEM52,0,0,0,0
CFAP74,2,1,2,0
LOC107984872,0,0,0,0
LOC105378589,0,0,0,0
GABRD,0,0,0,0
LOC105378590,1,0,0,0
PRKCZ-DT,0,0,0,0
PRKCZ,3,2,3,2
PRKCZ-AS1,0,0,0,0
FAAP20,2,1,2,0
LOC112268219,0,0,0,0
LOC105378593,0,0,0,0
SKI,7,11,13,17
MORN1,0,1,1,4
LOC100129534,0,0,0,0
RER1,1,6,6,7
PEX10,1,0,4,1
PLCH2,0,0,1,4
PANK4,0,0,1,0
HES5,0,0,0,0
